x y
894.9276462945778 205.12902693432952
605.8049565258174 1101.9888226797102
997.9639338005892 1406.187134016413
898.5542400741036 200.31259762416462
595.4750775486837 1107.2134187988522
604.2650484930651 1093.6870148587197
910.4182018760298 198.07381356496842
889.9171514528391 210.54966411822414
894.2539012663021 197.6645916220173
1293.8668837314087 1226.9985447788224
1101.678126564978 293.1536873085353
992.8250410842519 1388.3282027700861
1087.7227641368922 300.08692802891574
1118.0224784686577 315.121228383725
1389.010006048403 807.5222070121524
900.9562914949452 205.67122877813114
995.924391183183 1409.387582169016
1296.6777577805713 1199.9363846115666
1309.635029339901 1202.697273840025
1298.3873142956627 1211.2208199839313
898.9708018503818 192.0834466392906
1394.733264238425 794.2335132862088
607.2465101627478 1105.1694309383404
1097.296327942854 289.07152013478236
1003.0307525358193 1388.4276118988269
1093.3825526314238 295.38484442280406
600.077803766084 1087.1604163369848
999.5026442674915 1410.1132784931096
590.8099747405973 1104.0729225430337
1108.1007244245782 305.7508314682879
1385.3829518801394 804.7473288285357
902.0238420980339 215.45182586096206
995.7450116334076 1388.2173284551234
1399.7355431155731 780.5205420074524
896.833299932967 198.754675113152
1295.0222476652677 1197.2286535184803
1105.2316375854089 297.5385973918867
997.4781855479337 1409.9247215349803
1106.1567395716293 290.604454861656
1313.4278361769254 1205.7374276574606
1319.1177147799472 1205.2256259155895
1431.0765236686702 794.8572282059695
1000.5758961618568 1404.1103438864254
1398.5307173700955 776.9205867890353
1298.2799869402877 1192.8333628884538
1107.3184037957292 296.37216419275313
1401.9400268128584 801.2796991462378
1399.191759672389 807.6945774438927
1004.0238954796268 1411.2628236882579
900.9756767852285 204.41844688555958
604.4691894140068 1091.343591264691
993.9637189032322 1396.1188804686938
1397.026866120725 787.8921126743269
611.1214560742205 1110.3687797471396
1110.9781408504819 294.32352991172706
1403.1977259916328 794.7200613883666
1279.3628918896377 1194.4901345828162
1302.8151323964462 1200.1030183819075
598.1981519901061 1109.939134343455
601.6946131322887 1108.2687918974566
